respid	qn	rating	response
91	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	3	Depnds on the results
93	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Improve our skin
94	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Olay is one of my favourite brand and this is all i want in aproduct
96	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	Honey is a powerful tan remover and it does the job of skin conditioning beautifully.
98	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	the product quantity and quality both are very fine
99	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	3	it does not suit my skin
101	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	product quality
102	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	its totallynatural
106	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	It's good
109	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	My name is a great day ahead I am not
111	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Because his such a good product
113	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	for an even healthy glow
115	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	I like it
116	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	My skin has lot of pigmentation and I am really tired of using so many creams but all in vain. I wanna try this one for sure as I trust this brand.
117	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	Overall the description is appealing.
122	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Honey complex content
123	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	For main reason that cream clear my uneven skin tone andsun melasma
124	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	Because I like this product
125	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Uneven skin tone is a very big problem for most of them who travel in the day. Even I have such problem and it doesn't stop there it causes aging faster and not at all healthy. To reduce these issues I feel like would strongly buy okay luminous to reduce my uneven skin tone to a greater extent and to live a healthy and youthful life for my body and my skin.
128	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	even skin tone
129	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	I have this condition
131	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Because it's a product which give me protection from sun light and also give a glowing skin.
132	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	I have no idea about removing strong spots as well as the picture
134	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	I love very much. My family interested to buy that product. I feel very happy.
135	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	Every people have faced due to some but this is something which every person needs to put remove everything from our skin so this is a product which I feel I am likely to buy
136	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Very good product for skin
137	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	I used the product, and it gives very good result, so I quite likely to buy buy Olay product. Thank you
138	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	It has benefits of honey it reduce the spots on the face
141	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	I would like to have spotless skin
147	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	Will remove my dark spots
148	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	It contains honey complex
150	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Reduces spots and gives a healthy glow
154	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	3	I do not have my skin darken due to sun so I do not need to buy this product
155	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	3	I do not have this skin condition what ad has  shown.  In future if it required I may purchase.
156	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	It's a promising product and much needed but the price is high.
158	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	It's too much costly for me
162	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	It looks good, nice improvement but 8 weeks is verylong
166	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	It has honey to glow the skin
167	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	Olay is healthy glow
168	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	This product is very much useful in our day to day life.
169	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	I like the product and it is required in this season
173	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	It is also looking good and have honey complex
174	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	I am used this products at past years. This is helps to glow on my skin. It is a keeps my skin at healthy glow.
180	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	Because it removes melasma and makes even skin tone
182	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	3	i am a homemaker. i do not go out. if circumstances make me go out,i will definitely consider this product.
184	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Product claims that it will reduce spots and gives a healthy glow
185	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	3	Natural ingredients
188	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	It reduces spots by sun melasma it has honey, it give healthy glow skin
193	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	looks a genuine product
196	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	As an Indian who is outside in the sun for quite a long time it is very easy to damage our skin. And as we age the damage progresses. So if there is a product which helps to reduce those damages it is a good investment for our skin. It is not just for the appearance but for overall skin health.
197	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	Reduces spots Penetrates 5 times more
199	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	Before the skin was itchable after 8 weeks the skin is different, spots are too less compared to b4.
202	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	This product is very useful for my makeup accessories and I enjoy when I use Olay products
205	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Olay proves what it says and is extremely worthy every penny
207	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	The best of luck to you soon best
208	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Honey
213	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	Brand and after using good result
222	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	3	I only buy products  after the genuine review of customers..or need strong satisfaction from manufacturers
225	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	The brand name and the things in the product
227	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	2	I do not have a problem with melasma. So I do not require the product mentioned.
228	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Reduces 2x accumulated spots caused by sun melasma
275	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	I have heard of this product already
286	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	This was vey good to body and no bad
289	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	It reduces 2x accumulated spots
293	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	3	Not very attractive otr gets my attention
299	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Reduce dark spots
300	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	It reduce sun melasma
304	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	Good convenient
305	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	I want to get rid of this sun melasma.
306	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	Because it's good
307	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	Because i have been suffering from sun damage for many months on my skin, if this could help then i will be so thankful.
313	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Provides even skin tone and healthy Care
314	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	I am personally facing this problem on my face and I would love to try this product
315	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	It is quite appealing
316	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	Spot reductiomn
318	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	Because sometimes I also face the same problem and the product description was good enough to at least try the product.
319	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	Good product
320	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	If it's affordable I would most probably buy
326	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	It’s appealing and I my skin needs this
336	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	I love the benefits
338	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Yes I love this product its very useful and extremely good product.
343	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	This product gives me solutions for my skin problems
346	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	It's description and presentation . concept is very attractive
353	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	It contains niacinamide and honey complex to reduce melasma from your skin
355	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	Good for skin
357	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	because of it reduces sun tan and makes skin even tone
363	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	It's trustworthy and effective
365	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	One of the most reputed brands .  Will live to try it
366	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	3	Price is quite high. May be this can be reasonable.
369	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	I trust niacinamide
370	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	It is very nice
371	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	I Have dull skin and spots, I hope this will help me
372	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	Na
375	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	1	Since me or my close ones do not suffer from melasma i wouldn't buy this.
376	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	Honey is good for skin
380	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Honey and healthy glow, penetrates 5 times, reduces accumulated spot
390	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	3	no comments
391	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Extant glow my skin
396	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	I want to try it
397	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	Effectiveness
417	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	Even skin
422	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	i like cream e o usvery much i am very happy t
429	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	I've accumulated melasma and I'd like to cure it.
431	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	2	Niacinamide with honey this combination is quite weird
433	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	because it has those ingredients that i want in my cream so i want to buy it
437	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	It's very good and fantastic and very important
441	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	It is branded and trusted product which satisfy customers and male skin glow
442	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Honey  helps to pure feeling
443	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	It has honey & umf5 so its good for skin
444	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	I like this product
446	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	This is contains honey.this is maintain even tone. This gives healthy grow.
447	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	I like this product
449	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Now a days more people having this problem,so I think it will be more effective for the problem.
450	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	Because it gives the spot less glow and clear the skin
457	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	This is a very good and fantastic and very interested
458	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	the before and after poctures show's a drastic change
460	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Honey in products is what I always wanted to try
461	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	This is a good and fantastic and very interested brand
465	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Because it is a good product
466	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	3	I use homemade facial masks with honey
468	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	Because I  want to try this
473	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	It contains high quality honey plus niacinamide
476	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Dark spots is very low to use this product
481	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	Good quality
486	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	By seeing the above images it looks effective on skin
488	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Good
489	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	3	It has features I have seen in cheaper creams before
490	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Its a new product to try
494	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	3	Don't have any sun problem
496	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Because his customers rating is very perfect for fascinating nearby peoples really it's wonderful product for all skin types i like it's packing very much
497	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	It promises to reduce spots
498	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	cz i have this problem
500	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	i see the difference in both the pictures that make me to trust this brand and i will surly buy this
504	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	It is branded and trusted product
505	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	To see the results
507	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	Because of the usefulness
511	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Olay is deserve this score.
516	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	I believe on the products of Olay
519	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	I want a healthy skin and this attractef me towards this item
521	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	3	Healthy glow give even tone
536	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	1	Another product lam used
537	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	2	Not having problems advertised here
539	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Extra features of the product
540	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	The product  reduces the skin problem s now a days we all are going  outside for their work so we need to must secure  yours face also so it is important  for me
543	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	2	Because i don't have any uneven tone problem.
547	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	Good for brightening and reducing marks
548	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	It reduces spots
550	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	I liked to buy Olay products and the good company but some times I think not buy because quality was so high cost
555	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	Both are good products. I want to use it.
557	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	3	This problem is not relevant to me
570	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	It is very halpful for me, i know have more information for this product
572	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Because give me healthy and glow skin and i love it
574	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	3	Why verification of employment from the following
577	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	It's better than first one and I believe the concept.
583	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	It is very good product..it is my most favourite brand..this product benefits is smooth and glow skin and very smooth...its removed all black marks and clear skin
584	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	It gives some results and show improvement.
593	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	This is very good for skin
595	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	As I have in my face accumulated sandwiches so this only product help me in reducing the spots caused by Susan Miller
598	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	Because it seems to be good and make it freshness
599	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Summers are coming and most of the time I am outside. So this something I really need.
601	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	It is very good and fantastic and very interesting really my favourite
603	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	It is very good and fantastic and very interesting lovely my favourite
604	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	It's a best cream to use for the womens I m so exited to use this product so u can give more rate
605	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	3	It doesn't suits me
610	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	This is the best
612	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	I would like to buy this product because it says that it will reduce the spots which I want
618	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	honey is good for health and even for face so i would like to buy it
619	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	Olay is a good brand of facial products.
622	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	Somthen the skin
623	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	I want to give it a shot
631	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	presence of honey moisteiser skin
633	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	I love olay product because this product shut my scene and olay products is good
635	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	4	Has attractive banner and information
639	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	Because of brand Goodwill and nice quality.
657	C7. [Honey] Olay Luminous Niacinamide + Honey Complex Reduces 2x* accumulated spots caused by sun melasma for an even healthy glow	5	As it is relatable to me and I really want to product like this that can have some effect to my uneven skin tone as I am always out in the sun so I found this can help me to reduce it.
